title,app_id,manifest_version,script-scr:unsafe-eval,script-scr:unsafe-eval-base64-hash,script-scr:unsafe-inline,script-scr:unsafe-inline-base64-hash,script-src:non-localhost-http-url,style-scr:unsafe-eval,style-scr:unsafe-eval-base64-hash,style-scr:unsafe-inline,style-scr:unsafe-inline-base64-hash,style-src:non-localhost-http-url,good#default-src,good#base-uri,good#form-action,good#frame-ancestors,good#plugin-types,good#report-uri,good#sandbox
Fantasy Elf HD Wallpapers Elves New Tab,ahmmplfkekpncjlemephmkpnlfmlphjo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Madrid & Cristiano Ronaldo (CR7) New Tab,aiafgcgjncijmbkndojnjlhikiepicae,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Postman Interceptor,aicmkgpgakddgnaphhhpliifpcfhicfo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garbage Truck Simulator,aidibmmbdcenpclimjdlihfapamphahg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Code Geass Anime Wallpaper HD Custom New Tab,aifpeeabgifkielkginalajidnlkkmej,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battlefield New Tab & Wallpapers Collection,aigkipeigmkkcghkhpbleageadlmoppf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuri on Ice Wallpapers HD New Tab Themes,aigppjfllfbdhobbmcifoicpifoffjoe,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overwatch Genji Wallpaper HD Custom New Tab,aihnnagoagpmciinnbbflooeenfcaflg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Universal Bypass,aihomhdbhpnpmcnnbckjjcebjoikpihj,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flash Video Downloader,aiimdkdngfcipjohbjenkahhlhccpdbc,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kpop Stray Kids Wallpaper HD Custom New Tab,aijiinejofdhbnappgnbecfliheifjcd,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS RM & Jimin HD Wallpapers New Tab,aijnnoklfmddiemjhmeiiflofficgecp,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODocs - Smartbar for G Suite,aikbehojjdffmangolfbohjdigfdnepa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overwatch DVa Wallpaper HD Custom New Tab,aiklppgafeddndedpbfjpdeodbhncocf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Workona,ailcmbgekjpnablpdkmaaccecekgdhlh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surfshark VPN Extension - Fast & Secure Proxy,ailoabdmgclmfmhdagmlohpjlbpffblp,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apex Legends Wallpaper HD Custom New Tab,ailobbhfkpicimlgpifpdclfifibdnop,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poki,ajdcdldijnddfkjdikgbemhnjopehfof,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clipboard History Pro best productivity tool,ajiejmhbejpdgkkigpddefnjmgcbkenk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
